Opponent,Value
"('Braum', ""Kai'Sa"")",0.6816500000000001
"('Braum', ""Kog'Maw"")",0.7189749999999999
"('Braum', 'Aphelios')",0.7866
"('Braum', 'Ashe')",0.6405499999999998
"('Braum', 'Caitlyn')",0.6072
"('Braum', 'Corki bot')",0.5150999999999999
"('Braum', 'Ezreal')",0.6435750000000001
"('Braum', 'Jhin')",0.7385250000000001
"('Braum', 'Jinx')",0.6401249999999998
"('Braum', 'Xayah')",0.6512
"('Karma', ""Kai'Sa"")",0.6964000000000001
"('Karma', ""Kog'Maw"")",0.5569250000000001
"('Karma', 'Aphelios')",0.8098000000000002
"('Karma', 'Ashe')",0.5887500000000001
"('Karma', 'Caitlyn')",0.66495
"('Karma', 'Corki bot')",0.6683500000000001
"('Karma', 'Ezreal')",0.715325
"('Karma', 'Jhin')",0.7039749999999999
"('Karma', 'Jinx')",0.5905749999999999
"('Karma', 'Xayah')",0.7527750000000001
"('Leona', ""Kai'Sa"")",0.6783750000000001
"('Leona', ""Kog'Maw"")",0.659075
"('Leona', 'Aphelios')",0.85655
"('Leona', 'Ashe')",0.6919
"('Leona', 'Caitlyn')",0.64295
"('Leona', 'Corki bot')",0.5623750000000001
"('Leona', 'Ezreal')",0.7119
"('Leona', 'Jhin')",0.742375
"('Leona', 'Jinx')",0.5029749999999998
"('Leona', 'Xayah')",0.7722
"('Lulu', ""Kai'Sa"")",0.7301250000000001
"('Lulu', ""Kog'Maw"")",0.6342500000000001
"('Lulu', 'Aphelios')",0.707725
"('Lulu', 'Ashe')",0.633225
"('Lulu', 'Caitlyn')",0.7036750000000002
"('Lulu', 'Corki bot')",0.655825
"('Lulu', 'Ezreal')",0.68505
"('Lulu', 'Jhin')",0.8312750000000002
"('Lulu', 'Jinx')",0.62745
"('Lulu', 'Xayah')",0.7084250000000001
"('Nami', ""Kai'Sa"")",0.8133500000000001
"('Nami', ""Kog'Maw"")",0.7012250000000002
"('Nami', 'Aphelios')",0.8057
"('Nami', 'Ashe')",0.6532
"('Nami', 'Caitlyn')",0.7506500000000002
"('Nami', 'Corki bot')",0.5350499999999999
"('Nami', 'Ezreal')",0.730275
"('Nami', 'Jhin')",0.655
"('Nami', 'Jinx')",0.6213
"('Nami', 'Xayah')",0.7908750000000001
"('Nautilus', ""Kai'Sa"")",0.7812250000000001
"('Nautilus', ""Kog'Maw"")",0.6639500000000002
"('Nautilus', 'Aphelios')",0.7957000000000001
"('Nautilus', 'Ashe')",0.6738250000000001
"('Nautilus', 'Caitlyn')",0.7890250000000002
"('Nautilus', 'Corki bot')",0.6376750000000001
"('Nautilus', 'Ezreal')",0.73465
"('Nautilus', 'Jhin')",0.7838750000000002
"('Nautilus', 'Jinx')",0.7304749999999999
"('Nautilus', 'Xayah')",0.6917
"('Pyke', ""Kai'Sa"")",0.7645750000000001
"('Pyke', ""Kog'Maw"")",0.5253749999999999
"('Pyke', 'Aphelios')",0.7116750000000001
"('Pyke', 'Ashe')",0.655675
"('Pyke', 'Caitlyn')",0.671875
"('Pyke', 'Corki bot')",0.4970250000000001
"('Pyke', 'Ezreal')",0.7707500000000002
"('Pyke', 'Jhin')",0.764725
"('Pyke', 'Jinx')",0.6239250000000001
"('Pyke', 'Xayah')",0.5738500000000001
"('Rakan', ""Kai'Sa"")",0.726325
"('Rakan', ""Kog'Maw"")",0.7254500000000002
"('Rakan', 'Aphelios')",0.580675
"('Rakan', 'Ashe')",0.630675
"('Rakan', 'Caitlyn')",0.5581250000000001
"('Rakan', 'Corki bot')",0.5400250000000001
"('Rakan', 'Ezreal')",0.7245000000000001
"('Rakan', 'Jhin')",0.729975
"('Rakan', 'Jinx')",0.6839999999999999
"('Rakan', 'Xayah')",0.6808500000000001
"('Rell', ""Kai'Sa"")",0.634725
"('Rell', ""Kog'Maw"")",0.563025
"('Rell', 'Aphelios')",0.7021250000000001
"('Rell', 'Ashe')",0.6258250000000001
"('Rell', 'Caitlyn')",0.6830250000000001
"('Rell', 'Corki bot')",0.5206750000000001
"('Rell', 'Ezreal')",0.69565
"('Rell', 'Jhin')",0.695625
"('Rell', 'Jinx')",0.5566749999999999
"('Rell', 'Xayah')",0.6657500000000002
"('Thresh', ""Kai'Sa"")",0.7369249999999999
"('Thresh', ""Kog'Maw"")",0.5930500000000002
"('Thresh', 'Aphelios')",0.702975
"('Thresh', 'Ashe')",0.699525
"('Thresh', 'Caitlyn')",0.6139749999999999
"('Thresh', 'Corki bot')",0.617125
"('Thresh', 'Ezreal')",0.7913500000000001
"('Thresh', 'Jhin')",0.799575
"('Thresh', 'Jinx')",0.560225
"('Thresh', 'Xayah')",0.6666
