Opponent,Value
"(""Kai'Sa"", 'Braum')",0.6816500000000001
"(""Kai'Sa"", 'Karma')",0.6964000000000001
"(""Kai'Sa"", 'Leona')",0.6783750000000001
"(""Kai'Sa"", 'Lulu')",0.7301250000000001
"(""Kai'Sa"", 'Nami')",0.8133500000000001
"(""Kai'Sa"", 'Nautilus')",0.7812250000000001
"(""Kai'Sa"", 'Pyke')",0.7645750000000001
"(""Kai'Sa"", 'Rakan')",0.726325
"(""Kai'Sa"", 'Rell')",0.634725
"(""Kai'Sa"", 'Thresh')",0.7369249999999999
"(""Kog'Maw"", 'Braum')",0.7189749999999999
"(""Kog'Maw"", 'Karma')",0.5569250000000001
"(""Kog'Maw"", 'Leona')",0.659075
"(""Kog'Maw"", 'Lulu')",0.6342500000000001
"(""Kog'Maw"", 'Nami')",0.7012250000000002
"(""Kog'Maw"", 'Nautilus')",0.6639500000000002
"(""Kog'Maw"", 'Pyke')",0.5253749999999999
"(""Kog'Maw"", 'Rakan')",0.7254500000000002
"(""Kog'Maw"", 'Rell')",0.563025
"(""Kog'Maw"", 'Thresh')",0.5930500000000002
"('Aphelios', 'Braum')",0.7866
"('Aphelios', 'Karma')",0.8098000000000002
"('Aphelios', 'Leona')",0.85655
"('Aphelios', 'Lulu')",0.707725
"('Aphelios', 'Nami')",0.8057
"('Aphelios', 'Nautilus')",0.7957000000000001
"('Aphelios', 'Pyke')",0.7116750000000001
"('Aphelios', 'Rakan')",0.580675
"('Aphelios', 'Rell')",0.7021250000000001
"('Aphelios', 'Thresh')",0.702975
"('Ashe', 'Braum')",0.6405499999999998
"('Ashe', 'Karma')",0.5887500000000001
"('Ashe', 'Leona')",0.6919
"('Ashe', 'Lulu')",0.633225
"('Ashe', 'Nami')",0.6532
"('Ashe', 'Nautilus')",0.6738250000000001
"('Ashe', 'Pyke')",0.655675
"('Ashe', 'Rakan')",0.630675
"('Ashe', 'Rell')",0.6258250000000001
"('Ashe', 'Thresh')",0.699525
"('Caitlyn', 'Braum')",0.6072
"('Caitlyn', 'Karma')",0.66495
"('Caitlyn', 'Leona')",0.64295
"('Caitlyn', 'Lulu')",0.7036750000000002
"('Caitlyn', 'Nami')",0.7506500000000002
"('Caitlyn', 'Nautilus')",0.7890250000000002
"('Caitlyn', 'Pyke')",0.671875
"('Caitlyn', 'Rakan')",0.5581250000000001
"('Caitlyn', 'Rell')",0.6830250000000001
"('Caitlyn', 'Thresh')",0.6139749999999999
"('Corki bot', 'Braum')",0.5150999999999999
"('Corki bot', 'Karma')",0.6683500000000001
"('Corki bot', 'Leona')",0.5623750000000001
"('Corki bot', 'Lulu')",0.655825
"('Corki bot', 'Nami')",0.5350499999999999
"('Corki bot', 'Nautilus')",0.6376750000000001
"('Corki bot', 'Pyke')",0.4970250000000001
"('Corki bot', 'Rakan')",0.5400250000000001
"('Corki bot', 'Rell')",0.5206750000000001
"('Corki bot', 'Thresh')",0.617125
"('Ezreal', 'Braum')",0.6435750000000001
"('Ezreal', 'Karma')",0.715325
"('Ezreal', 'Leona')",0.7119
"('Ezreal', 'Lulu')",0.68505
"('Ezreal', 'Nami')",0.730275
"('Ezreal', 'Nautilus')",0.73465
"('Ezreal', 'Pyke')",0.7707500000000002
"('Ezreal', 'Rakan')",0.7245000000000001
"('Ezreal', 'Rell')",0.69565
"('Ezreal', 'Thresh')",0.7913500000000001
"('Jhin', 'Braum')",0.7385250000000001
"('Jhin', 'Karma')",0.7039749999999999
"('Jhin', 'Leona')",0.742375
"('Jhin', 'Lulu')",0.8312750000000002
"('Jhin', 'Nami')",0.655
"('Jhin', 'Nautilus')",0.7838750000000002
"('Jhin', 'Pyke')",0.764725
"('Jhin', 'Rakan')",0.729975
"('Jhin', 'Rell')",0.695625
"('Jhin', 'Thresh')",0.799575
"('Jinx', 'Braum')",0.6401249999999998
"('Jinx', 'Karma')",0.5905749999999999
"('Jinx', 'Leona')",0.5029749999999998
"('Jinx', 'Lulu')",0.62745
"('Jinx', 'Nami')",0.6213
"('Jinx', 'Nautilus')",0.7304749999999999
"('Jinx', 'Pyke')",0.6239250000000001
"('Jinx', 'Rakan')",0.6839999999999999
"('Jinx', 'Rell')",0.5566749999999999
"('Jinx', 'Thresh')",0.560225
"('Xayah', 'Braum')",0.6512
"('Xayah', 'Karma')",0.7527750000000001
"('Xayah', 'Leona')",0.7722
"('Xayah', 'Lulu')",0.7084250000000001
"('Xayah', 'Nami')",0.7908750000000001
"('Xayah', 'Nautilus')",0.6917
"('Xayah', 'Pyke')",0.5738500000000001
"('Xayah', 'Rakan')",0.6808500000000001
"('Xayah', 'Rell')",0.6657500000000002
"('Xayah', 'Thresh')",0.6666
