Champion,Opponent,Winrate
Aphelios,Braum,0.4193249999999999
Aphelios,Karma,0.4828750000000001
Aphelios,Leona,0.4230749999999999
Aphelios,Lulu,0.5605499999999999
Aphelios,Nami,0.4677249999999999
Aphelios,Nautilus,0.5660250000000001
Aphelios,Pyke,0.4347749999999999
Aphelios,Rakan,0.3310250000000002
Aphelios,Rell,0.4406
Aphelios,Thresh,0.494525
Ashe,Braum,0.4285249999999999
Ashe,Karma,0.4473250000000001
Ashe,Leona,0.4112499999999998
Ashe,Lulu,0.5342
Ashe,Nami,0.4628
Ashe,Nautilus,0.5537000000000001
Ashe,Pyke,0.41125
Ashe,Rakan,0.4364
Ashe,Rell,0.4453
Ashe,Thresh,0.4867499999999999
Caitlyn,Braum,0.4697249999999999
Caitlyn,Karma,0.5077
Caitlyn,Leona,0.4418749999999998
Caitlyn,Lulu,0.5870000000000001
Caitlyn,Nami,0.4927749999999999
Caitlyn,Nautilus,0.5812
Caitlyn,Pyke,0.462025
Caitlyn,Rakan,0.4378250000000001
Caitlyn,Rell,0.455625
Caitlyn,Thresh,0.5308999999999999
Corki bot,Braum,0.6058499999999999
Corki bot,Karma,0.5569250000000001
Corki bot,Leona,0.5029749999999998
Corki bot,Lulu,0.609875
Corki bot,Nami,0.6213
Corki bot,Nautilus,0.6589
Corki bot,Pyke,0.5253749999999999
Corki bot,Rakan,0.544375
Corki bot,Rell,0.5566749999999999
Corki bot,Thresh,0.560225
Ezreal,Braum,0.3794000000000001
Ezreal,Karma,0.4197249999999999
Ezreal,Leona,0.3564249999999999
Ezreal,Lulu,0.4731
Ezreal,Nami,0.4108999999999999
Ezreal,Nautilus,0.5034000000000001
Ezreal,Pyke,0.367325
Ezreal,Rakan,0.4068249999999999
Ezreal,Rell,0.386075
Ezreal,Thresh,0.4480249999999999
Jhin,Braum,0.3702500000000001
Jhin,Karma,0.4246250000000001
Jhin,Leona,0.345
Jhin,Lulu,0.4835500000000002
Jhin,Nami,0.3666
Jhin,Nautilus,0.4862250000000002
Jhin,Pyke,0.36355
Jhin,Rakan,0.4053250000000001
Jhin,Rell,0.3845500000000001
Jhin,Thresh,0.42645
Jinx,Braum,0.5150999999999999
Jinx,Karma,0.5445250000000001
Jinx,Leona,0.5145250000000001
Jinx,Lulu,0.633225
Jinx,Nami,0.5350499999999999
Jinx,Nautilus,0.6376750000000001
Jinx,Pyke,0.4970250000000001
Jinx,Rakan,0.5400250000000001
Jinx,Rell,0.5206750000000001
Jinx,Thresh,0.5930500000000002
Kai'Sa,Braum,0.3768
Kai'Sa,Karma,0.441075
Kai'Sa,Leona,0.365275
Kai'Sa,Lulu,0.4922500000000001
Kai'Sa,Nami,0.4182249999999999
Kai'Sa,Nautilus,0.5107000000000002
Kai'Sa,Pyke,0.3870500000000001
Kai'Sa,Rakan,0.388125
Kai'Sa,Rell,0.33215
Kai'Sa,Thresh,0.453125
Kog'Maw,Braum,0.506375
Kog'Maw,Karma,0.567375
Kog'Maw,Leona,0.4812999999999999
Kog'Maw,Lulu,0.61385
Kog'Maw,Nami,0.4957000000000001
Kog'Maw,Nautilus,0.6121250000000003
Kog'Maw,Pyke,0.4430749999999999
Kog'Maw,Rakan,0.4959500000000001
Kog'Maw,Rell,0.4746250000000001
Kog'Maw,Thresh,0.5549499999999999
Xayah,Braum,0.437425
Xayah,Karma,0.456025
Xayah,Leona,0.42615
Xayah,Lulu,0.5298750000000001
Xayah,Nami,0.462425
Xayah,Nautilus,0.5665250000000001
Xayah,Pyke,0.3487999999999999
Xayah,Rakan,0.4533000000000001
Xayah,Rell,0.44655
Xayah,Thresh,0.4972749999999999
