Champion,Opponent,Winrate
Braum,Aphelios,0.580675
Braum,Ashe,0.5714750000000001
Braum,Caitlyn,0.530275
Braum,Corki bot,0.39415
Braum,Ezreal,0.6205999999999999
Braum,Jhin,0.6297499999999999
Braum,Jinx,0.4849000000000001
Braum,Kai'Sa,0.6232
Braum,Kog'Maw,0.493625
Braum,Xayah,0.562575
Karma,Aphelios,0.517125
Karma,Ashe,0.5526749999999999
Karma,Caitlyn,0.4922999999999999
Karma,Corki bot,0.4430749999999999
Karma,Ezreal,0.580275
Karma,Jhin,0.5753749999999999
Karma,Jinx,0.4554749999999998
Karma,Kai'Sa,0.558925
Karma,Kog'Maw,0.432625
Karma,Xayah,0.543975
Leona,Aphelios,0.5769250000000001
Leona,Ashe,0.5887500000000001
Leona,Caitlyn,0.5581250000000001
Leona,Corki bot,0.4970250000000001
Leona,Ezreal,0.6435750000000001
Leona,Jhin,0.655
Leona,Jinx,0.485475
Leona,Kai'Sa,0.634725
Leona,Kog'Maw,0.5187
Leona,Xayah,0.5738500000000001
Lulu,Aphelios,0.43945
Lulu,Ashe,0.4658
Lulu,Caitlyn,0.413
Lulu,Corki bot,0.390125
Lulu,Ezreal,0.5268999999999999
Lulu,Jhin,0.5164499999999999
Lulu,Jinx,0.3667749999999999
Lulu,Kai'Sa,0.5077499999999999
Lulu,Kog'Maw,0.3861499999999999
Lulu,Xayah,0.4701249999999999
Nami,Aphelios,0.5322750000000002
Nami,Ashe,0.5372
Nami,Caitlyn,0.5072250000000001
Nami,Corki bot,0.3787000000000001
Nami,Ezreal,0.5891000000000001
Nami,Jhin,0.6334000000000001
Nami,Jinx,0.46495
Nami,Kai'Sa,0.581775
Nami,Kog'Maw,0.5043
Nami,Xayah,0.537575
Nautilus,Aphelios,0.4339749999999999
Nautilus,Ashe,0.4463
Nautilus,Caitlyn,0.4187999999999999
Nautilus,Corki bot,0.3360499999999999
Nautilus,Ezreal,0.4966
Nautilus,Jhin,0.5137749999999999
Nautilus,Jinx,0.3623249999999999
Nautilus,Kai'Sa,0.4892999999999998
Nautilus,Kog'Maw,0.3878749999999998
Nautilus,Xayah,0.4334749999999999
Pyke,Aphelios,0.5652250000000001
Pyke,Ashe,0.58875
Pyke,Caitlyn,0.537975
Pyke,Corki bot,0.4746250000000001
Pyke,Ezreal,0.6326750000000001
Pyke,Jhin,0.63645
Pyke,Jinx,0.5029749999999998
Pyke,Kai'Sa,0.6129499999999999
Pyke,Kog'Maw,0.5569250000000001
Pyke,Xayah,0.6464500000000001
Rakan,Aphelios,0.6610999999999999
Rakan,Ashe,0.5636
Rakan,Caitlyn,0.5621749999999999
Rakan,Corki bot,0.455625
Rakan,Ezreal,0.5931750000000001
Rakan,Jhin,0.5946749999999998
Rakan,Jinx,0.4599749999999998
Rakan,Kai'Sa,0.611875
Rakan,Kog'Maw,0.5040499999999999
Rakan,Xayah,0.5466999999999999
Rell,Aphelios,0.5594
Rell,Ashe,0.5547
Rell,Caitlyn,0.544375
Rell,Corki bot,0.443325
Rell,Ezreal,0.613925
Rell,Jhin,0.6154499999999998
Rell,Jinx,0.4793249999999999
Rell,Kai'Sa,0.6678499999999999
Rell,Kog'Maw,0.5253749999999999
Rell,Xayah,0.55345
Thresh,Aphelios,0.505475
Thresh,Ashe,0.5132500000000001
Thresh,Caitlyn,0.4691000000000001
Thresh,Corki bot,0.4397750000000001
Thresh,Ezreal,0.5519750000000001
Thresh,Jhin,0.57355
Thresh,Jinx,0.4069499999999998
Thresh,Kai'Sa,0.546875
Thresh,Kog'Maw,0.44505
Thresh,Xayah,0.5027250000000001
