Champion,Opponent,Winrate
Braum,Karma,0.5208250000000001
Braum,Leona,0.4849000000000001
Braum,Lulu,0.5690000000000002
Braum,Nami,0.599775
Braum,Nautilus,0.6487000000000002
Braum,Pyke,0.493625
Braum,Rakan,0.530275
Braum,Rell,0.541375
Braum,Thresh,0.558575
Karma,Braum,0.4791749999999999
Karma,Leona,0.497125
Karma,Lulu,0.569375
Karma,Nami,0.4805749999999999
Karma,Nautilus,0.594025
Karma,Pyke,0.4430749999999999
Karma,Rakan,0.4764749999999999
Karma,Rell,0.457075
Karma,Thresh,0.5274749999999999
Leona,Braum,0.5284749999999999
Leona,Karma,0.5445250000000001
Leona,Lulu,0.633225
Leona,Nami,0.547675
Leona,Nautilus,0.6376750000000001
Leona,Pyke,0.4970250000000001
Leona,Rakan,0.5400250000000001
Leona,Rell,0.5206750000000001
Leona,Thresh,0.5930500000000002
Lulu,Braum,0.472675
Lulu,Karma,0.4501249999999999
Lulu,Leona,0.4521749999999999
Lulu,Nami,0.4712999999999999
Lulu,Nautilus,0.5277250000000001
Lulu,Pyke,0.3861499999999999
Lulu,Rakan,0.413
Lulu,Rell,0.421425
Lulu,Thresh,0.472725
Nami,Braum,0.5641750000000001
Nami,Karma,0.5194250000000001
Nami,Leona,0.46495
Nami,Lulu,0.5621250000000001
Nami,Nautilus,0.6138750000000001
Nami,Pyke,0.5043
Nami,Rakan,0.5072250000000001
Nami,Rell,0.5199500000000001
Nami,Thresh,0.531425
Nautilus,Braum,0.4661249999999999
Nautilus,Karma,0.4320749999999999
Nautilus,Leona,0.3623249999999999
Nautilus,Lulu,0.4722749999999999
Nautilus,Nami,0.5101999999999999
Nautilus,Pyke,0.3878749999999998
Nautilus,Rakan,0.4187999999999999
Nautilus,Rell,0.4192499999999999
Nautilus,Thresh,0.4438999999999998
Pyke,Braum,0.6058499999999999
Pyke,Karma,0.567375
Pyke,Leona,0.5029749999999998
Pyke,Lulu,0.61385
Pyke,Nami,0.6213
Pyke,Nautilus,0.6589
Pyke,Rakan,0.537975
Pyke,Rell,0.5566749999999999
Pyke,Thresh,0.560225
Rakan,Braum,0.5672999999999999
Rakan,Karma,0.523525
Rakan,Leona,0.4599749999999998
Rakan,Lulu,0.5870000000000001
Rakan,Nami,0.583475
Rakan,Nautilus,0.638575
Rakan,Pyke,0.5040499999999999
Rakan,Rell,0.5232
Rakan,Thresh,0.5308999999999999
Rell,Braum,0.5993499999999998
Rell,Karma,0.542925
Rell,Leona,0.5116749999999999
Rell,Lulu,0.5785750000000001
Rell,Nami,0.6077749999999998
Rell,Nautilus,0.643725
Rell,Pyke,0.5253749999999999
Rell,Rakan,0.544375
Rell,Thresh,0.560775
Thresh,Braum,0.47215
Thresh,Karma,0.4856249999999998
Thresh,Leona,0.5145250000000001
Thresh,Lulu,0.53915
Thresh,Nami,0.497
Thresh,Nautilus,0.5561000000000001
Thresh,Pyke,0.4397750000000001
Thresh,Rakan,0.4691000000000001
Thresh,Rell,0.4539000000000001
