Key,Opponent,Value
Braum,"('Aphelios', 'Karma')",0.8038250000000002
Braum,"('Aphelios', 'Leona')",0.85655
Braum,"('Aphelios', 'Lulu')",0.6645
Braum,"('Aphelios', 'Nami')",0.790425
Braum,"('Aphelios', 'Nautilus')",0.7957000000000001
Braum,"('Aphelios', 'Pyke')",0.7086250000000001
Braum,"('Aphelios', 'Rakan')",0.580675
Braum,"('Aphelios', 'Rell')",0.7021250000000001
Braum,"('Aphelios', 'Thresh')",0.702975
Braum,"('Ashe', 'Karma')",0.5714750000000001
Braum,"('Ashe', 'Leona')",0.6862
Braum,"('Ashe', 'Lulu')",0.5744000000000001
Braum,"('Ashe', 'Nami')",0.622325
Braum,"('Ashe', 'Nautilus')",0.6673500000000001
Braum,"('Ashe', 'Pyke')",0.637025
Braum,"('Ashe', 'Rakan')",0.6188250000000001
Braum,"('Ashe', 'Rell')",0.6117750000000001
Braum,"('Ashe', 'Thresh')",0.685625
Braum,"('Caitlyn', 'Karma')",0.631675
Braum,"('Caitlyn', 'Leona')",0.6254000000000002
Braum,"('Caitlyn', 'Lulu')",0.6288500000000001
Braum,"('Caitlyn', 'Nami')",0.7037750000000002
Braum,"('Caitlyn', 'Nautilus')",0.7665500000000001
Braum,"('Caitlyn', 'Pyke')",0.637225
Braum,"('Caitlyn', 'Rakan')",0.530275
Braum,"('Caitlyn', 'Rell')",0.652975
Braum,"('Caitlyn', 'Thresh')",0.584075
Braum,"('Corki bot', 'Karma')",0.562625
Braum,"('Corki bot', 'Leona')",0.471525
Braum,"('Corki bot', 'Lulu')",0.5273249999999999
Braum,"('Corki bot', 'Nami')",0.4358249999999999
Braum,"('Corki bot', 'Nautilus')",0.533875
Braum,"('Corki bot', 'Pyke')",0.39415
Braum,"('Corki bot', 'Rakan')",0.4327000000000001
Braum,"('Corki bot', 'Rell')",0.4006500000000001
Braum,"('Corki bot', 'Thresh')",0.5278499999999999
Braum,"('Ezreal', 'Karma')",0.6924250000000001
Braum,"('Ezreal', 'Leona')",0.7119
Braum,"('Ezreal', 'Lulu')",0.6205999999999999
Braum,"('Ezreal', 'Nami')",0.693775
Braum,"('Ezreal', 'Nautilus')",0.72255
Braum,"('Ezreal', 'Pyke')",0.7464750000000001
Braum,"('Ezreal', 'Rakan')",0.7070250000000001
Braum,"('Ezreal', 'Rell')",0.6759750000000001
Braum,"('Ezreal', 'Thresh')",0.7718250000000001
Braum,"('Jhin', 'Karma')",0.68915
Braum,"('Jhin', 'Leona')",0.7391250000000001
Braum,"('Jhin', 'Lulu')",0.7780750000000001
Braum,"('Jhin', 'Nami')",0.6297499999999999
Braum,"('Jhin', 'Nautilus')",0.7830250000000001
Braum,"('Jhin', 'Pyke')",0.7517
Braum,"('Jhin', 'Rakan')",0.72375
Braum,"('Jhin', 'Rell')",0.6872
Braum,"('Jhin', 'Thresh')",0.7913
Braum,"('Jinx', 'Karma')",0.560925
Braum,"('Jinx', 'Leona')",0.4849000000000001
Braum,"('Jinx', 'Lulu')",0.5796000000000001
Braum,"('Jinx', 'Nami')",0.599775
Braum,"('Jinx', 'Nautilus')",0.72655
Braum,"('Jinx', 'Pyke')",0.6132250000000002
Braum,"('Jinx', 'Rakan')",0.6757750000000001
Braum,"('Jinx', 'Rell')",0.5414750000000002
Braum,"('Jinx', 'Thresh')",0.558575
Braum,"(""Kai'Sa"", 'Karma')",0.6816500000000002
Braum,"(""Kai'Sa"", 'Leona')",0.6783750000000001
Braum,"(""Kai'Sa"", 'Lulu')",0.6738250000000001
