champ1,champ2,win_rate
Ashe,Rell,52.71
Ashe,Nautilus,56.21
Ashe,Lulu,54.34
Ashe,Rakan,47.99
Ashe,Pyke,53.59
Ashe,Thresh,57.92
Ashe,Karma,56.94
Ashe,Nami,54.85
Ashe,Braum,50.06
Ashe,Leona,53.86
Kai'Sa,Rell,45.22
Kai'Sa,Nautilus,54.45
Kai'Sa,Lulu,53.73
Kai'Sa,Rakan,44.96
Kai'Sa,Pyke,56.48
Kai'Sa,Thresh,54.6
Kai'Sa,Karma,54.55
Kai'Sa,Nami,55.17
Kai'Sa,Braum,47.72
Kai'Sa,Leona,50.07
Jhin,Rell,46.11
Jhin,Nautilus,49.67
Jhin,Lulu,55.31
Jhin,Rakan,52.03
Jhin,Pyke,46.18
Jhin,Thresh,52.49
Jhin,Karma,55.11
Jhin,Nami,54.07
Jhin,Braum,41.67
Jhin,Leona,50.4
Ezreal,Rell,47.8
Ezreal,Nautilus,50.14
Ezreal,Lulu,53.33
Ezreal,Rakan,51.38
Ezreal,Pyke,53.8
Ezreal,Thresh,52.86
Ezreal,Karma,55.15
Ezreal,Nami,56.37
Ezreal,Braum,47.04
Ezreal,Leona,49.59
Corki bot,Rell,56.1
Corki bot,Nautilus,61.34
Corki bot,Lulu,52.79
Corki bot,Rakan,60.0
Corki bot,Pyke,58.3
Corki bot,Thresh,56.25
Corki bot,Karma,56.69
Corki bot,Nami,53.76
Corki bot,Braum,59.68
Corki bot,Leona,60.15
Caitlyn,Rell,44.77
Caitlyn,Nautilus,53.47
Caitlyn,Lulu,55.98
Caitlyn,Rakan,52.87
Caitlyn,Pyke,55.67
Caitlyn,Thresh,57.16
Caitlyn,Karma,52.37
Caitlyn,Nami,57.48
Caitlyn,Braum,56.88
Caitlyn,Leona,52.1
Jinx,Rell,52.0
Jinx,Nautilus,53.92
Jinx,Lulu,58.05
Jinx,Rakan,56.5
Jinx,Pyke,55.06
Jinx,Thresh,60.07
Jinx,Karma,55.84
Jinx,Nami,55.97
Jinx,Braum,56.48
Jinx,Leona,54.39
Kog'Maw,Rell,45.08
Kog'Maw,Nautilus,60.0
Kog'Maw,Lulu,56.15
Kog'Maw,Rakan,51.68
Kog'Maw,Pyke,53.98
Kog'Maw,Thresh,60.67
Kog'Maw,Karma,53.94
Kog'Maw,Nami,49.62
Kog'Maw,Braum,57.98
Kog'Maw,Leona,58.01
Xayah,Rell,51.79
Xayah,Nautilus,59.7
Xayah,Lulu,50.32
Xayah,Rakan,55.61
Xayah,Pyke,51.77
Xayah,Thresh,59.23
Xayah,Karma,51.23
Xayah,Nami,54.25
Xayah,Braum,48.34
Xayah,Leona,57.58
Aphelios,Rell,47.6
Aphelios,Nautilus,56.24
Aphelios,Lulu,55.98
Aphelios,Rakan,46.64
Aphelios,Pyke,53.61
Aphelios,Thresh,53.93
Aphelios,Karma,50.56
Aphelios,Nami,56.3
Aphelios,Braum,45.56
Aphelios,Leona,55.9
