champ1,champ2,win_rate
K'Sante,Jax,50.38
K'Sante,Gnar,51.13
K'Sante,Aatrox,48.05
K'Sante,Renekton,48.92
K'Sante,Aurora,48.93
K'Sante,Yone top,47.09
K'Sante,Riven,54.31
K'Sante,Gragas,46.46
K'Sante,Camille,52.83
Jax,Gnar,47.28
Jax,Aatrox,47.72
Jax,Renekton,48.41
Jax,Aurora,46.24
Jax,Yone top,40.05
Jax,Riven,47.06
Jax,Gragas,48.94
Jax,Camille,41.5
Gnar,Aatrox,46.53
Gnar,Renekton,49.51
Gnar,Aurora,47.37
Gnar,Yone top,46.27
Gnar,Riven,48.98
Gnar,Gragas,48.98
Gnar,Camille,52.32
Aatrox,Renekton,52.82
Aatrox,Aurora,52.22
Aatrox,Yone top,42.68
Aatrox,Riven,53.88
Aatrox,Gragas,47.92
Aatrox,Camille,47.65
Renekton,Aurora,55.66
Renekton,Yone top,48.53
Renekton,Riven,45.52
Renekton,Gragas,57.72
Renekton,Camille,53.2
Aurora,Yone top,49.41
Aurora,Riven,46.73
Aurora,Gragas,54.4
Aurora,Camille,50.68
Yone top,Riven,53.89
Yone top,Gragas,55.08
Yone top,Camille,49.36
Riven,Gragas,51.04
Riven,Camille,45.93
Gragas,Camille,45.93
Graves,Viego,49.31
Graves,Lee Sin,47.5
Graves,Skarner,53.88
Graves,Nidalee,49.93
Graves,Elise,50.81
Graves,Kha'Zix,49.09
Graves,Jarvan IV,45.55
Graves,Hecarim,49.85
Graves,Kindred,49.38
Viego,Lee Sin,49.27
Viego,Skarner,51.13
Viego,Nidalee,49.55
Viego,Elise,52.82
Viego,Kha'Zix,50.62
Viego,Jarvan IV,45.95
Viego,Hecarim,50.37
Viego,Kindred,46.83
Lee Sin,Skarner,54.99
Lee Sin,Nidalee,50.65
Lee Sin,Elise,52.37
Lee Sin,Kha'Zix,48.78
Lee Sin,Jarvan IV,50.77
Lee Sin,Hecarim,49.88
Lee Sin,Kindred,49.88
Skarner,Nidalee,46.18
Skarner,Elise,50.0
Skarner,Kha'Zix,48.48
Skarner,Jarvan IV,46.63
Skarner,Hecarim,52.96
Skarner,Kindred,42.76
Nidalee,Elise,53.25
Nidalee,Kha'Zix,40.14
Nidalee,Jarvan IV,41.38
Nidalee,Hecarim,52.36
Nidalee,Kindred,52.19
Elise,Kha'Zix,48.48
Elise,Jarvan IV,59.26
Elise,Hecarim,51.93
Elise,Kindred,56.82
Kha'Zix,Jarvan IV,54.55
Kha'Zix,Hecarim,53.52
Kha'Zix,Kindred,50.0
Jarvan IV,Hecarim,44.74
Jarvan IV,Kindred,48.34
Hecarim,Kindred,44.94
Sylas,Yone mid,47.08
Sylas,Ahri,48.3
Sylas,Corki mid,54.18
Sylas,Syndra,45.66
Sylas,Orianna,48.72
Sylas,Yasuo,47.73
Sylas,Akali,48.9
Sylas,Galio,52.79
Sylas,Hwei,47.72
Yone mid,Ahri,54.26
Yone mid,Corki mid,55.79
Yone mid,Syndra,53.22
Yone mid,Orianna,52.67
